Blink Count,Time start,Time end
407,37.44322,37.44322
408,37.463202,37.463202
409,37.483292,37.483292
410,37.503274,37.503274
411,37.523365,37.523365
412,37.543347,37.543347
413,37.563437,37.563437
414,37.583419,37.583419
415,37.603509,37.603509
416,37.623491,37.623491
417,37.643583,37.643583
418,37.663564,37.663564
419,37.683655,37.683655
420,37.703636,37.703636
421,37.723727,37.723727
422,37.743708,37.743708
423,37.7638,37.7638
424,37.783781,37.783781
425,37.803872,37.803872
426,37.823854,37.823854
427,37.843946,37.843946
428,37.863926,37.863926
429,37.884017,37.884017
430,37.903999,37.903999
431,37.924089,37.924089
432,37.944072,37.944072
433,37.964163,37.964163
434,37.984144,37.984144
435,38.004235,38.004235
436,38.024216,38.024216
437,38.044308,38.134448
438,38.184506,38.184506
439,38.204598,38.204598
440,38.224579,38.224579
441,38.244671,38.244671
442,38.264651,38.264651
443,38.284742,38.284742
444,38.304724,38.304724
445,38.324815,38.324815
446,38.344796,38.344796
447,38.364887,38.364887
448,38.384869,38.384869
449,38.40496,38.40496
450,38.424941,38.424941
451,38.445032,38.445032
452,38.465014,38.465014
453,38.485105,38.485105
454,38.505086,38.505086
455,38.525177,38.525177
456,38.545159,38.545159
457,38.56525,38.56525
458,38.585231,38.585231
459,38.605323,38.605323
460,38.625304,38.625304
461,38.645395,38.645395
462,38.665376,38.665376
463,38.685467,38.685467
464,38.705449,38.705449
465,38.72554,38.72554
466,38.745521,38.745521
467,38.765612,38.765612
468,38.785594,38.785594
469,38.805685,38.805685
470,38.825666,38.825666
471,38.845757,38.845757
472,38.865738,38.865738
473,38.88583,38.88583
474,38.905812,38.905812
475,38.925902,38.925902
476,38.945884,38.945884
477,38.965975,38.965975
478,38.985957,38.985957
479,39.006047,39.006047
480,39.026029,39.026029
481,39.04612,39.04612
482,39.066101,39.066101
483,39.086192,39.086192
484,39.106174,39.106174
485,39.126265,39.126265
486,39.146246,39.146246
487,39.166337,39.166337
488,39.186319,39.186319
489,39.20641,39.20641
490,39.226391,39.226391
491,39.246482,39.246482
492,39.266464,39.266464
493,39.286555,39.286555
494,39.306536,39.306536
495,39.326628,39.326628
496,39.346608,39.346608
497,39.3667,39.3667
498,39.386681,39.386681
499,39.406773,39.406773
500,39.426753,39.426753
501,39.446845,39.446845
502,39.466826,39.466826
503,39.486917,39.486917
504,39.506898,39.506898
505,39.52699,39.52699
506,39.546971,39.546971
507,39.567062,39.567062
508,39.587044,39.587044
509,39.607136,39.607136
510,39.627116,39.627116
511,39.647208,39.647208
512,39.667188,39.667188
513,39.68728,39.68728
514,39.707261,39.707261
515,39.727352,39.727352
516,39.747334,39.747334
517,39.767425,39.767425
518,39.787407,39.787407
519,39.807498,39.807498
520,39.827479,39.827479
521,39.84757,39.84757
522,39.867551,39.867551
523,39.887642,39.887642
524,39.907624,39.907624
525,39.927715,39.927715
526,39.947697,39.947697
527,39.967788,39.967788
528,39.987768,39.987768
529,40.00786,40.00786
530,40.027841,40.027841
531,40.047933,40.047933
532,40.067914,40.067914
533,40.088005,40.088005
534,40.107986,40.107986
535,40.128077,40.128077
536,40.148059,40.148059
537,40.16815,40.16815
538,40.188131,40.188131
539,40.208222,40.208222
540,40.228204,40.228204
541,40.248295,40.248295
542,40.268277,40.268277
543,40.288367,40.288367
544,40.308348,40.308348
545,40.32844,40.32844
546,40.348421,40.348421
547,40.368512,40.368512
548,40.388494,40.388494
549,40.408585,40.408585
550,40.428566,40.428566
551,40.448658,40.448658
552,40.468639,40.468639
553,40.48873,40.48873
554,40.508711,40.508711
555,40.528803,40.528803
556,40.548784,40.548784
557,40.568875,40.568875
558,40.588857,40.588857
559,40.608948,40.608948
560,40.628929,40.628929
561,40.64902,40.64902
562,40.669002,40.669002
563,40.689092,40.689092
564,40.709074,40.709074
565,40.729165,40.729165
566,40.749146,40.749146
567,40.769237,40.769237
568,40.789218,40.789218
569,40.809311,40.809311
570,40.829291,40.829291
571,40.849383,40.849383
572,40.869364,40.869364
573,40.889455,40.889455
574,40.909436,40.909436
575,40.929528,40.929528
576,40.949509,40.949509
577,40.969599,40.969599
578,40.989581,40.989581
579,41.009673,41.009673
580,41.029654,41.029654
581,41.049745,41.049745
582,41.069726,41.069726
583,41.089818,41.089818
584,41.109799,41.109799
585,41.12989,41.12989
586,41.149871,41.149871
587,41.169962,41.169962
588,41.189944,41.189944
589,41.210035,41.210035
590,41.230017,41.230017
591,41.250107,41.250107
592,41.270088,41.270088
593,41.29018,41.29018
594,41.310161,41.310161
595,41.330253,41.330253
596,41.350235,41.350235
597,41.370325,41.370325
598,41.390307,41.390307
599,41.410397,41.410397
600,41.430379,41.430379
601,41.45047,41.45047
602,41.470451,41.470451
603,41.490542,41.490542
604,41.510524,41.510524
605,41.530615,41.530615
606,41.550596,41.550596
607,41.570688,41.570688
608,41.590669,41.590669
609,41.61076,41.61076
610,41.630742,41.630742
611,41.650833,41.650833
612,41.670814,41.670814
613,41.690904,41.690904
614,41.710886,41.710886
615,41.730977,41.730977
616,41.750959,41.750959
617,41.77105,41.77105
618,41.791031,41.791031
619,41.811123,41.811123
620,41.831104,41.831104
621,41.851195,41.851195
622,41.871176,41.871176
623,41.891268,41.891268
624,41.911249,41.911249
625,41.93134,41.93134
626,41.951321,41.951321
627,41.971413,41.971413
628,41.991394,41.991394
